,Words1,Meaning1,Frequency1,Cumulative
0,mv,'that',551,551
1,mvn,'that',522,1073
2,ont,'it is',387,1460
3,owat,'if',307,1767
4,on,‘it is’,302,2069
5,os,‘it is’,299,2368
6,hvta,'again',244,2612
7,tis,'even',210,2822
8,tat,‘refers to previous topic’,202,3024
9,mvt,'that',191,3215
10,owemvts,'it was',180,3395
11,nak,'thing',175,3570
12,mvo,'also',160,3730
13,onkv,‘it is’,155,3885
14,owēs,'we are',146,4031
15,em,'hers/his/its',140,4171
16,owisen,'even though',112,4283
17,hiyowat,'now',108,4391
18,owē,'like',108,4499
19,yv,'this',106,4605
20,mowen,‘then’,105,4710
21,owēt,‘it is’,101,4811
22,mont,'then’,99,4910
23,este,'person',98,5008
24,onkat,’or’,83,5091
25,owen,’and’,83,5174
26,pum,‘our’,63,5237
27,punvkv,‘language’,61,5298
28,vm,‘my/me’,60,5358
29,owis,‘I am’,59,5417
30,cem,‘your/you’,53,5470
31,mowēt,’that is’,53,5523
32,hvtvm,‘again’,50,5573
33,nake,‘thing’,47,5620
34,owv,‘is it?’,47,5667
35,kont,'She/He thinks.’,43,5710
36,orēn,‘really’,43,5753
37,te,‘is it?’,42,5795
38,ohwen,‘and’,40,5835
39,naken,‘what’,39,5874
40,mēkusvpkvcuko,‘church’,38,5912
41,owet,‘It is’,36,5948
42,osafke,‘sofkey’,35,5983
45,owa,'is it?’,34,6017
44,cuko,'house/building’,34,6051
43,owētok,‘it is’,34,6085
46,ocēt,‘We have.’,33,6118
47,aret,‘She/He is going about.’,33,6151
48,mowisen,'but’,33,6184
49,kicet,‘She/He says.',31,6215
50,ehe,‘yes’,31,6246
51,nettv,‘day’,30,6276
52,mowis,’I am doing.’,30,6306
53,mowet,‘when’,30,6336
54,vtotketv,'to work’,30,6366
55,cē,'adds emphasis’,30,6396
56,etvlwv,'town’,29,6425
59,tv,'how about?’,28,6453
60,mowē,‘like that’,28,6481
61,mahen,‘about’,28,6509
58,owemvtok,‘It was like that.',28,6537
57,mvto,‘thank you’,28,6565
62,kerrvkot,‘I don’t know’,27,6592
63,stecatē,‘Indian’,27,6619
64,yvn,‘this’,26,6645
67,stowusat,‘a little’,24,6669
68,vhvn,'pause',24,6693
69,eto,‘tree’,24,6717
66,mahoken,‘they say’,24,6741
65,mowe,‘like that’,24,6765
70,hiyowen,‘now’,23,6788
71,vneu,‘me too’,23,6811
72,vntat,‘my/me’,23,6834
73,hompetv,‘to eat’,23,6857
74,ayen,‘She/He goes’,23,6880
78,kowit,‘I think’,22,6902
80,ohrolopē,‘year’,22,6924
79,omvlkvn,‘all’,22,6946
76,mahoket,‘They say’,22,6968
77,cokv,‘book’,22,6990
75,kowet,‘She/He thinks.’,22,7012
81,owes,'It is.',21,7033
82,owe,‘It is.’,21,7054
83,hayetv,‘to make (SG)’,21,7075
84,vce,‘corn’,21,7096
85,stem,‘with each other’,20,7116
86,cvrket,‘my father’,20,7136
87,owvtēt,‘It was’,20,7156
92,tayet,‘can’,19,7175
95,kvpecvfke,‘lye’,19,7194
94,hvte,‘just’,19,7213
93,ste,‘person’,19,7232
91,hēren,‘good’,19,7251
88,monkat,‘or’,19,7270
89,tem,'each other’,19,7289
90,tvlkēs,‘It’s only.’,19,7308
96,mucvnettv,‘today’,18,7326
97,liket,‘She/He sits. (SG)’,18,7344
98,fullet,‘They go about. (PL)’,18,7362
99,owēmvts,‘It was.’,18,7380
