,Words1,Meaning1,Frequency1,pos,Cumulative,headword
0,om-/ow-,'be',3122,verb,3122,ometv
1,mom-/mow-,'happen',475,verb,3597,mometv
384,nak/nake,'thing',301,noun,3898,nak
2,kic-,'tell',259,verb,4157,kicetv
3,mak-,'say',250,verb,4407,maketv
4,kerr-,'know/learn',241,verb,4648,kerretv
385,este,'person',235,noun,4883,este
5,vr-,'go about (sg.),199,verb,5082,vretv
386,em/en,'her/him',196,noun,5278,em
6,hiyom-/hiyow-,'happen',194,verb,5472,hiyometv
7,kom-/kow-,'think',189,verb,5661,kometv
387,cuko,'house/building',140,noun,5801,cuko
8,full-,'go about (pl.),134,verb,5935,fulletv
9,oc-,'have',132,verb,6067,ocetv
10,hay-,'make (sg.)',123,verb,6190,hayetv
12,ok-,'mean/say',116,verb,6306,oketv
11,hec-,'see',116,verb,6422,hecetv
13,mēc-,'do (it)',111,verb,6533,mēcetv
14,lik-,'sit',110,verb,6643,liketv
15,her-,'be good',107,verb,6750,heretv
16,vy-,'go',107,verb,6857,vyetv
388,vm/vn,'me',104,noun,6961,vm
389,pum/pun,'we',99,noun,7060,pum
17,onvy-,'tell',95,verb,7155,onvyetv
18,hak-,'make',92,verb,7247,haketv
19,opunvy-,'speak',87,verb,7334,opunvyetv
390,cem/cen,'you',87,noun,7421,cem
391,opunvkv,'language',82,noun,7503,opunvkv
20,tay-,'be able',82,verb,7585,tayetv
21,vnic-,'help',78,verb,7663,vnicetv
22,homp-,'eat',76,verb,7739,hompetv
23,vtotk-,'work',70,verb,7809,vtotketv
392,omvlkv,'all',65,noun,7874,omvlkv
393,*rke,'father',64,noun,7938,*rke
24,vpvk-,'be with',63,verb,8001,vpvketv
25,vcul-,'get old (man)',61,verb,8062,vculetv
394,mēkusvpkv,'prayer',58,noun,8120,mēkusvpkv
395,nettv,'day',56,noun,8176,nettv
26,poh-,'hear',53,verb,8229,pohetv
27,yac-,'want',52,verb,8281,yacetv
28,vpey-,'go (pl.)',49,verb,8330,vpeyetv
29,estom-/estow-,'do something',48,verb,8378,estometv
396,hopuetake,'children',46,noun,8424,hopuetake
32,wit-,'may',42,verb,8466,witetv
31,vlicēc-,'start',42,verb,8508,vlicēcetv
30,vpok-,'live (pl.)',42,verb,8550,vpoketv
397,osafke,'sofke',41,noun,8591,osafke
398,*cke,'mother',38,noun,8629,*cke
399,cokv,'book',37,noun,8666,cokv
400,*puse,'grandmother',36,noun,8702,*puse
33,wik-,'quit',34,verb,8736,wiketv
35,em-,'give',33,verb,8769,emetv
34,mvhay-,'teach',33,verb,8802,mvhayetv
